grid-enabled,4.34,110,cocktail
instruction set,3.75,569,hot coco
next generation,3.16,834,hot coco
conglomeration,5.81,427,coffee
Networked,9.47,1608,water
fault-tolerant,11.22,1299,cocktail
needs-based,8.35,1608,coffee
Face to face,7.39,844,hot coco
protocol,7.01,1736,water
info-mediaries,6.29,299,water
Profit-focused,11.82,132,water
Cross-group,10.88,268,cocktail
Balanced,7.28,201,beer
data-warehouse,7.12,1400,water
moderator,9.90,627,cocktail
Focused,11.22,348,coffee
high-level,3.73,1472,coffee
frame,8.27,1284,beer
forecast,3.46,1781,beer
Universal,3.43,1370,water
